Turma;Idade;Sexo;Orientação;Religião;Presenciou Bullyng;Meio de transporte;Tempo de locomoção;Passe Escolar;Dificuldade de chegar no Horário;Quem te acorda?;Renda Mensal;Programa Social;Situação Conjugal;Moradia;Escolaridade do Responsável;Situação Alimentar;Ocupação do responsável;Importância do Estudo;Horas de estudo diária;Português;Inglês;Espanhol;Artes;Educação Física;História;Geografia;Sociologia;Filosofia;Matemática;Física;Química;Biologia;Após o horário de aula;Livros por ano;Em relação a pergunta anterior, os livros que você lê são;Ensino Fundamental
2º C;15;Feminino;;;Não;Carro próprio;Até 10 minutos;Não;Não;Você acorda sozinho;De 5000 a 10000 reais;Não;Vivem separados;Própria;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;4;Não estudo em casa.;2;0;1;4;10;5;4;3;3;0;0;0;5;Arrumar a casa;Nenhum;Nenhum;pinguinho de gente 
3º A;18;Masculino;;;Não;Transporte coletivo;De 20 a 30 minutos;Não;Não;Você acorda sozinho;De 5000 a 10000 reais;Não;Vivem juntos;Própria;Pós Graduação;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;6;Uma hora;6;8;4;10;4;7;6;7;7;4;6;6;5;Arrumar a casa, Olhar os meus irmãos;Três;Livros científicos;São Damiano
2º C;16;Feminino;Bissexual;;Não;A Pé;De 10 a 20 minutos;Sim;As vezes;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem juntos;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Três horas;8;7;6;7;10;9;10;10;10;10;10;8;7;Trabalho, Arrumar a casa, Olhar os meus irmãos, Estudar, Somente Lazer;Cinco ou mais;Os indicados na escola, Livros literários de minha preferência;Ecovam
2º C;16;Masculino;Bissexual;;Não;Skate;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;9;10;8;10;10;10;10;10;10;8;5;5;10;Fazer atividade Física, Somente Lazer;Três;Livros literários de minha preferência;Ecovam
2º B;16;Masculino;Heterossexual;Cristão;Não;A Pé;De 10 a 20 minutos;Sim;Não;Você acorda sozinho;De 2000 a 3000 reais;Não;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;6;Menos de 1 hora;4;2;0;8;10;8;6;6;5;8;4;2;4;Trabalho, Somente Lazer;Dois;Litgh novel;Jalles machado
2º C;16;Masculino;Heterossexual;Não tem;Não;Carona;Até 10 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não;Vivem juntos;Alugada;Pós Graduação;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Não estudo em casa.;10;10;0;5;10;5;8;10;10;0;5;0;9;Fazer atividade Física;Dois;Os indicados na escola;Jalles Machado
2º C;15;Masculino;Heterossexual;Cristão;Não;Carro próprio;Até 10 minutos;Sim;Não;O seu responsável te acorda;De 1000 a 2000 reais;Não;Vivem juntos;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Duas horas;8;9;10;10;10;8;9;10;10;10;10;10;9;Arrumar a casa, Estudar;Cinco ou mais;Os indicados na escola, Livros literários de minha preferência;São Damiano
2º A;17;Masculino;;;;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não sei;Vivem juntos;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Não estudo em casa.;4;3;4;7;10;7;8;7;5;5;4;4;7;Somente Lazer;Um;Os indicados na escola;Araújo Lima
3º A;18;Feminino;Bissexual ;;Não ;Transporte coletivo;De 20 a 30 minutos;Sim;Não;Você acorda sozinho;De 1000 a 2000 reais;Sim;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;10;Não estudo em casa.;5;3;3;10;10;6;6;7;5;3;3;3;5;Trabalho, Somente Lazer;Um;Livros literários de minha preferência;Joaquim Machado Teixeira 
2º B;15;Masculino;Sem Definição;Ateu;Não ;A Pé;De 20 a 30 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não;Pai ou Mãe falecido;Própria;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;7;Menos de 1 hora;3;6;7;9;10;5;5;5;5;9;8;8;9;Arrumar a casa, Estudar, Fazer atividade Física;Cinco ou mais;Os indicados na escola, Livros literários de minha preferência;Presidente Arthur
2º B;16;Feminino;Bissexual;Ateu;Não ;Carro próprio;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Sim;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;9;Menos de 1 hora;8;10;0;9;0;3;7;7;2;9;7;8;8;Estudar, Fazer atividade Física;Nenhum;Os indicados na escola, Nenhum;São Damiano
2º C;15;Feminino;Bissexual;Não tem;Não ;Transporte coletivo;De 10 a 20 minutos;Sim;Não;Você acorda sozinho;Até 1000 reais;Não;Vivem separados;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;4;5;2;7;7;8;6;7;7;9;1;3;8;Arrumar a casa, Estudar, Somente Lazer;Cinco ou mais;Os indicados na escola, Livros literários de minha preferência;Marieta Telles
2º C;16;Feminino;Heterossexual;Católica ;Não ;A Pé;De 10 a 20 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Sim;Vivem separados;Alugada;Estudou até o Ensino Médio;Tem dias em que temos menos de 3 refeições;Tem emprego fixo;9;Não estudo em casa.;5;3;4;6;10;7;8;8;7;7;6;6;6;Arrumar a casa, Olhar os meus irmãos;Um;Os indicados na escola;Aécio 
